FileName, CommitSha
Sentinel Analytical Rules/BruteForce_Aldrin_Alia (47662c38-2f8c-4596-a240-4754a9e04636).json,7a99375ef590cb2c6d3db6fcda087a716d50bb2c
Sentinel Analytical Rules/Brute Force - Carl Von Nicanor (3151a835-6565-4652-bb18-3e3ba3a2058a).json,5570ad0f007b6458c070ce0e0f91115e7cbc78db
Sentinel Analytical Rules/Elfawair Inactive User (ebb24961-4436-4af9-a061-16fec79773c8).json,e3704e47a9fe9a80f4984dc75ed242b83fb9e916
Sentinel Analytical Rules/Detect Panda (APT Group) Log4Shell Vulnerability Exploited - WC-THREAT (f28eba2a-b31f-4059-b724-7120b4e49591).json,ee15dc92143d0400bf66adec2725a2b38dd6b0c9
Sentinel Analytical Rules/Anomalous sign-in location by user account and authenticating application - WC-AZURE (42ae503f-ca2b-4e0e-a175-cc75e31d47b9).json,2bdf3a2cbbfc941d7b808ed4c37f5a9ce08e31e0
Sentinel Analytical Rules/DNS events related to ToR proxies  - WC-THREAT (36cd7678-06b0-4e9f-a670-1c5eef7580af).json,5ddb7caa4f6b340863855344dce2c84376550e31
Sentinel Analytical Rules/Failed host logons but success logon to AzureAD - WC-AZURE (03a40f28-4afb-4907-86e7-ce6edeaf1f32).json,8f800470beec1f641c4380de0685133caf3e310d
Sentinel Analytical Rules/Europium - Hash and IP IOCs - WC-THREAT (7bfc725f-6169-4e12-a622-74adf8b8dd0d).json,c0ae529b6d8e3e1f5b90fafe8dafcb1855c8bb3c
Sentinel Analytical Rules/CVE-2020-1350 DNS Remote Code Exploit SIGRED - WC-THREAT (ca357133-fcd1-4a1d-b991-bd93399baf8b).json,5e7496834cdc926501b151c9a0862436a5969a75
Sentinel Analytical Rules/BlackByte Ransomware query Active Directory for Computer Names - WC-THREAT (80b78790-7c39-4b9e-add4-86b6262f68df).json,71c76c097b3bbed331785125570792b8df5ef131
Sentinel Analytical Rules/Exchange workflow MailItemsAccessed operation anomaly - WC-O365 (14b28a3f-8251-4799-a4e6-99cdf15da90a).json,0e174ca9b4d73faa24775124cacc23376e81fc8f
